nome_4md;dec;fec
AME;28.34;20.42
EDP SP;6.11;2.87
RORAIMA;37.53;26.12
CEA;32.14;14.69
CEB;7.02;4.74
CEEE;17.77;7.74
CELESC;9.78;5.86
EQUATORIAL GO;21.58;11.16
EQUATORIAL PA;16.86;8.3
CELPE;11.3;5.08
EQUATORIAL MA;14.03;5.99
CEMIG;9.71;4.86
EQUATORIAL PI;24.04;9.14
ERO;21.35;8.13
CHESP;7.49;10.35
COCEL;11.32;7.28
COELBA;10.7;4.97
COOPERALIANÇA;6.04;5.87
COPEL;7.85;5.2
COSERN;7.63;3.22
CPFL SANTA CRUZ;5.04;3.22
CPFL PAULISTA;5.14;3.26
CPFL PIRATININGA;4.57;3.14
DEMEI;4.64;4.61
DMED;3.17;2.53
EBO;21.58;11.16
EDP ES;7.23;3.12
EFLJC;1.97;1.08
EFLUL;3.68;3.49
ELEKTRO;7.32;3.73
EAC;23.67;8.92
ELETROCAR;7.92;5.95
ENEL SP;6.77;3.4
ELFSM;6.99;4.1
EMG;6.99;4.1
EMS;9.3;3.99
EMT;16.16;6.83
ENEL CE;9.76;3.9
ENEL RJ;9;4.15
EPB;10.99;4.04
ESE;9.58;4.7
ESS;5.31;3.02
ETO;16.12;5.73
HIDROPAN;5.64;5.44
DCELT;9.88;6.41
LIGHT;6.76;3
MUXENERGIA;3.34;3.19
RGE;8.63;3.98
SULGIPE;8.35;5.4
UHENPAL;8.88;8.63
OUTRA;8.88;8.63
ENF;8.88;8.63
FORCEL;2.95;5.69
EQUATORIAL AL;16.31;7.07
